Fecha,Media
20/1/2010,0.253569911
21/1/2010,0.231056694
22/1/2010,0.298596343
23/1/2010,0.056875494
24/1/2010,0.052135869
25/1/2010,0.209728384
26/1/2010,0.197879323
27/1/2010,0.21091329
28/1/2010,0.30570578
29/1/2010,0.353102025
30/1/2010,0.071094367
31/1/2010,0.065169837
1/2/2010,0.193139698
2/2/2010,0.18958498
3/2/2010,0.1741812
4/2/2010,0.193139698
5/2/2010,0.331773715
6/2/2010,0.040286808
7/2/2010,0.033177371
8/2/2010,0.194324604
9/2/2010,0.202618947
10/2/2010,0.183660449
11/2/2010,0.163517045
12/2/2010,0.285562376
13/2/2010,0.028437747
14/2/2010,0.022513216
15/2/2010,0.141003829
16/2/2010,0.16825667
17/2/2010,0.245275568
18/2/2010,0.219207633
19/2/2010,0.159962327
20/2/2010,0.024883029
21/2/2010,0.024883029
22/2/2010,0.184845355
23/2/2010,0.178920825
24/2/2010,0.175366106
25/2/2010,0.143373641
26/2/2010,0.142188735
27/2/2010,0.071094367
28/2/2010,0.411162425
1/3/2010,0.40049827
2/3/2010,0.271343503
3/3/2010,0.220392539
4/3/2010,0.278452939
5/3/2010,0.264234066
6/3/2010,0.13744911
7/3/2010,0.063984931
8/3/2010,0.138634017
9/3/2010,0.13152458
10/3/2010,0.106641551
11/3/2010,0.150483078
12/3/2010,0.361396368
13/3/2010,0.082943429
14/3/2010,0.04265662
15/3/2010,0.095977396
16/3/2010,0.097162302
17/3/2010,0.112566082
18/3/2010,0.130339674
19/3/2010,0.250015192
20/3/2010,0.329403903
21/3/2010,0.587713438
22/3/2010,0.842468255
23/3/2010,1.25955521
24/3/2010,0.74293614
25/3/2010,1.10077779
26/3/2010,1.02731361
27/3/2010,0.844838067
28/3/2010,0.629185152
29/3/2010,0.778483324
30/3/2010,0.766634263
31/3/2010,0.85313241
1/4/2010,0.855502222
2/4/2010,0.486996417
3/4/2010,0.464483201
4/4/2010,0.353102025
5/4/2010,0.336513339
6/4/2010,0.630370058
7/4/2010,0.64221912
8/4/2010,0.670656867
9/4/2010,0.53202285
10/4/2010,0.425381299
11/4/2010,0.523728507
12/4/2010,0.933706026
13/4/2010,0.763079544
14/4/2010,0.646958744
15/4/2010,0.687245552
16/4/2010,0.508324727
17/4/2010,0.356656744
18/4/2010,0.344807682
19/4/2010,0.695539895
20/4/2010,1.096038165
21/4/2010,0.914747528
22/4/2010,1.513125121
23/4/2010,1.777359187
24/4/2010,1.606732705
25/4/2010,2.110317808
26/4/2010,2.54399345
27/4/2010,2.590204788
28/4/2010,2.558212323
29/4/2010,2.814152046
30/4/2010,3.86160906
1/5/2010,4.589141421
2/5/2010,3.823692064
3/5/2010,3.123412545
4/5/2010,2.225253702
5/5/2010,1.977608322
6/5/2010,1.594883644
7/5/2010,1.581849676
8/5/2010,1.212158966
9/5/2010,1.943246044
10/5/2010,2.584280258
11/5/2010,2.579540633
12/5/2010,2.472899082
13/5/2010,2.446831147
14/5/2010,2.125721588
15/5/2010,1.556966648
16/5/2010,1.657683668
17/5/2010,1.616211954
18/5/2010,1.503645872
19/5/2010,1.279698615
20/5/2010,1.629245921
21/5/2010,1.802242216
22/5/2010,2.142310273
23/5/2010,2.417208494
24/5/2010,2.82837092
25/5/2010,3.246642782
26/5/2010,3.638846709
27/5/2010,4.111624253
28/5/2010,4.827307552
29/5/2010,3.299963557
30/5/2010,3.484808913
31/5/2010,5.295345471
1/6/2010,5.257428475
2/6/2010,4.053563852
3/6/2010,3.442152292
4/6/2010,2.94449172
5/6/2010,2.547548168
6/6/2010,3.385276798
7/6/2010,2.818891671
8/6/2010,3.004921932
9/6/2010,5.750349423
10/6/2010,7.890289884
11/6/2010,6.60111202
12/6/2010,5.114054834
13/6/2010,3.747858072
14/6/2010,4.520416866
15/6/2010,6.201798656
16/6/2010,4.835601895
17/6/2010,3.836726032
18/6/2010,3.636476897
19/6/2010,2.713435025
20/6/2010,2.767940707
21/6/2010,2.743057679
22/6/2010,2.22880842
23/6/2010,1.952725293
24/6/2010,2.068846094
25/6/2010,1.993012102
26/6/2010,2.019080036
27/6/2010,2.189706518
28/6/2010,3.030989867
29/6/2010,2.547548168
30/6/2010,2.233548045
1/7/2010,1.987087571
2/7/2010,1.899404518
3/7/2010,1.482317562
4/7/2010,1.729962942
5/7/2010,1.771434656
6/7/2010,1.418332631
7/7/2010,1.302211831
8/7/2010,1.32709486
9/7/2010,1.279698615
10/7/2010,1.092483447
11/7/2010,1.343683545
12/7/2010,1.340128827
13/7/2010,0.89578903
14/7/2010,0.936075838
15/7/2010,0.860241846
16/7/2010,0.784407855
17/7/2010,0.554536066
18/7/2010,0.438415266
19/7/2010,0.492920948
20/7/2010,0.577049283
21/7/2010,0.466853013
22/7/2010,0.773743699
23/7/2010,1.540377962
24/7/2010,0.921856965
25/7/2010,0.459743576
26/7/2010,0.579419095
27/7/2010,0.447894515
28/7/2010,0.501215291
29/7/2010,0.401683176
30/7/2010,0.391019021
31/7/2010,0.234611413
1/8/2010,0.212098196
2/8/2010,0.389834115
3/8/2010,0.40049827
4/8/2010,0.206173666
5/8/2010,0.279637845
6/8/2010,0.289117094
7/8/2010,0.151667984
8/8/2010,0.107826457
9/8/2010,0.164701951
10/8/2010,0.157592515
11/8/2010,0.150483078
12/8/2010,0.51661907
13/8/2010,0.451449233
14/8/2010,0.190769886
15/8/2010,0.101901927
16/8/2010,0.103086833
17/8/2010,0.109011363
18/8/2010,0.145743453
19/8/2010,0.270158596
20/8/2010,0.165886857
21/8/2010,0.250015192
22/8/2010,0.181290637
23/8/2010,0.117305706
24/8/2010,0.061615118
25/8/2010,0.063984931
26/8/2010,0.053320776
27/8/2010,0.047396245
28/8/2010,0.039101902
29/8/2010,0.037916996
30/8/2010,0.041471714
31/8/2010,0.037916996
1/9/2010,0.040286808
2/9/2010,0.074649086
3/9/2010,0.060430212
4/9/2010,0.041471714
5/9/2010,0.035547184
6/9/2010,0.074649086
7/9/2010,0.119675519
8/9/2010,0.07346418
9/9/2010,0.13152458
10/9/2010,0.202618947
11/9/2010,0.016588686
12/9/2010,0.014218873
13/9/2010,0.048581151
14/9/2010,0.13152458
15/9/2010,0.048581151
16/9/2010,0.040286808
17/9/2010,0.118490612
18/9/2010,0.097162302
19/9/2010,0.022513216
20/9/2010,0.143373641
21/9/2010,0.026067935
22/9/2010,0.043841527
23/9/2010,0.04265662
24/9/2010,0.04265662
25/9/2010,0.045026433
26/9/2010,0.043841527
27/9/2010,0.117305706
28/9/2010,0.182475543
29/9/2010,0.054505682
30/9/2010,0.075833992
1/10/2010,0.060430212
2/10/2010,0.005924531
3/10/2010,0.003554718
4/10/2010,0.496475666
5/10/2010,0.178920825
6/10/2010,0.077018898
7/10/2010,0.105456645
8/10/2010,0.133894392
9/10/2010,0.017773592
10/10/2010,1.338943921
11/10/2010,1.368566574
12/10/2010,0.99058152
13/10/2010,0.524913413
14/10/2010,0.276083127
15/10/2010,0.45855867
16/10/2010,0.149298172
17/10/2010,0.246460474
18/10/2010,0.164701951
19/10/2010,0.222762351
20/10/2010,0.170626482
21/10/2010,0.324664278
22/10/2010,0.257124629
23/10/2010,0.033177371
24/10/2010,0.030807559
25/10/2010,0.163517045
26/10/2010,0.162332139
27/10/2010,0.257124629
28/10/2010,0.283192564
29/10/2010,0.26304916
30/10/2010,0.055690588
31/10/2010,0.227501976
1/11/2010,0.370875617
2/11/2010,0.662362524
3/11/2010,0.30570578
4/11/2010,0.471592638
5/11/2010,0.537947381
6/11/2010,0.221577445
7/11/2010,0.287932188
8/11/2010,0.331773715
9/11/2010,0.32110956
10/11/2010,0.212098196
11/11/2010,0.250015192
12/11/2010,0.287932188
13/11/2010,0.114935894
14/11/2010,0.141003829
15/11/2010,0.233426507
16/11/2010,0.330588809
17/11/2010,0.154037796
18/11/2010,0.318739748
19/11/2010,0.323479372
20/11/2010,0.107826457
21/11/2010,0.046211339
22/11/2010,0.233426507
23/11/2010,0.159962327
24/11/2010,0.194324604
25/11/2010,0.195509511
26/11/2010,0.085313241
27/11/2010,0.033177371
28/11/2010,0.028437747
29/11/2010,0.231056694
30/11/2010,0.030807559
1/12/2010,0.188400074
2/12/2010,0.196694417
3/12/2010,0.09479249
4/12/2010,0.016588686
5/12/2010,0.02132831
6/12/2010,0.059245306
7/12/2010,0.594822875
8/12/2010,0.56875494
9/12/2010,1.129215537
10/12/2010,0.405237895
11/12/2010,0.255939723
12/12/2010,0.161147233
13/12/2010,0.507139821
14/12/2010,0.369690711
15/12/2010,0.190769886
16/12/2010,0.221577445
17/12/2010,0.347177495
18/12/2010,0.325849184
19/12/2010,0.052135869
20/12/2010,0.402868082
21/12/2010,0.39457374
22/12/2010,0.515434164
23/12/2010,0.630370058
24/12/2010,0.364951086
25/12/2010,0.067539649
26/12/2010,0.050950963
27/12/2010,0.376800148
28/12/2010,0.311630311
29/12/2010,0.283192564
30/12/2010,0.350732213
31/12/2010,0.286747282
1/1/2011,0.031992465
2/1/2011,0.054505682
3/1/2011,0.396943552
4/1/2011,0.219207633
5/1/2011,0.181290637
6/1/2011,0.200249135
7/1/2011,0.251200098
8/1/2011,0.024883029
9/1/2011,0.03673209
10/1/2011,0.282007658
11/1/2011,0.289117094
12/1/2011,0.273713315
13/1/2011,0.225132164
14/1/2011,0.130339674
15/1/2011,0.024883029
16/1/2011,0.022513216
17/1/2011,0.372060523
18/1/2011,0.254754817
19/1/2011,0.180105731
20/1/2011,0.167071764
21/1/2011,0.100717021
22/1/2011,0.016588686
23/1/2011,0.010664155
24/1/2011,0.292671813
25/1/2011,0.161147233
26/1/2011,0.092422678
27/1/2011,0.155222702
28/1/2011,0.161147233
29/1/2011,0.014218873
30/1/2011,0.008294343
31/1/2011,0.246460474
1/2/2011,0.197879323
2/2/2011,0.053320776
3/2/2011,0.143373641
4/2/2011,0.095977396
5/2/2011,0.007109437
6/2/2011,0.003554718
7/2/2011,0.273713315
8/2/2011,0.054505682
9/2/2011,0.054505682
10/2/2011,0.196694417
11/2/2011,0.122045331
12/2/2011,0.010664155
13/2/2011,0.007109437
14/2/2011,0.148113266
